"","PSAvC","PSAvPSO"
"A_23_P102890",0,0
"A_23_P1029",0,0
"A_23_P10291",0,0
"A_23_P102917",0,0
"A_23_P102919",0,0
"A_23_P102925",0,0
"A_23_P102937",0,0
"A_23_P102950",0,0
"A_23_P102965",0,0
"A_23_P102973",0,0
"A_23_P102988",0,0
"A_23_P102994",0,0
"A_23_P103011",0,0
"A_23_P103034",0,0
"A_23_P103041",0,0
"A_23_P10305",0,0
"A_23_P103062",0,0
"A_23_P103070",0,0
"A_23_P103084",0,0
"A_23_P103099",0,0
"A_23_P103104",0,0
"A_23_P103110",0,0
"A_23_P103120",0,0
"A_23_P103131",0,0
"A_23_P103149",-1,-1
"A_23_P103172",0,0
"A_23_P103180",0,0
"A_23_P103201",0,0
"A_23_P103226",0,0
"A_23_P103232",0,0
"A_23_P103248",0,0
"A_23_P103256",0,0
"A_23_P103269",0,0
"A_23_P103276",0,0
"A_23_P103282",0,0
"A_23_P103310",0,0
"A_23_P103315",0,0
"A_23_P103328",0,0
"A_23_P103334",0,0
"A_23_P103349",0,0
"A_23_P103361",0,0
"A_23_P103371",0,0
"A_23_P103398",0,0
"A_23_P103405",0,0
"A_23_P103414",0,0
"A_23_P103424",0,0
"A_23_P103433",0,0
"A_23_P103442",0,0
"A_23_P103454",0,0
"A_23_P103465",0,0
"A_23_P103476",0,0
"A_23_P103486",0,0
"A_23_P103496",0,0
"A_23_P103503",0,0
"A_23_P103511",0,0
"A_23_P103522",0,0
"A_23_P103532",0,0
"A_23_P10356",-1,0
"A_23_P103561",0,0
"A_23_P103571",0,0
"A_23_P103588",0,0
"A_23_P103601",0,0
"A_23_P103617",0,0
"A_23_P103628",0,0
"A_23_P103631",0,0
"A_23_P103661",0,0
"A_23_P103672",0,0
"A_23_P103690",0,0
"A_23_P103698",0,0
"A_23_P103703",0,0
"A_23_P103720",0,0
"A_23_P10374",0,0
"A_23_P103743",0,0
"A_23_P103756",0,0
"A_23_P103765",0,0
"A_23_P103775",0,0
"A_23_P103787",0,0
"A_23_P103795",0,0
"A_23_P1038",0,0
"A_23_P103803",0,0
"A_23_P103812",0,0
"A_23_P103824",0,0
"A_23_P103837",0,0
"A_23_P10385",0,0
"A_23_P103864",0,0
"A_23_P103877",0,0
"A_23_P103885",0,0
"A_23_P103897",0,0
"A_23_P103905",0,0
"A_23_P10391",0,0
"A_23_P103919",0,0
"A_23_P103923",0,0
"A_23_P103932",0,0
"A_23_P103942",0,0
"A_23_P103951",0,0
"A_23_P103968",0,0
"A_23_P103971",0,0
"A_23_P103981",0,0
"A_23_P103996",0,0
"A_23_P10401",0,0
"A_23_P104012",0,0
"A_23_P104022",0,0
"A_23_P104025",0,0
"A_23_P104046",0,0
"A_23_P104054",0,0
"A_23_P104065",0,0
"A_23_P104073",0,0
"A_23_P104086",0,0
"A_23_P104098",0,0
"A_23_P104109",0,0
"A_23_P104116",0,0
"A_23_P104138",0,0
"A_23_P104146",0,0
"A_23_P104151",0,0
"A_23_P104188",0,0
"A_23_P104193",0,0
"A_23_P104199",0,0
"A_23_P104201",0,0
"A_23_P104224",0,0
"A_23_P104237",0,0
"A_23_P104252",0,0
"A_23_P104275",0,0
"A_23_P104282",0,0
"A_23_P104295",0,0
"A_23_P1043",0,0
"A_23_P104318",0,0
"A_23_P104323",0,0
"A_23_P104335",0,0
"A_23_P104346",0,0
"A_23_P104351",0,0
"A_23_P104362",0,0
"A_23_P104372",0,0
"A_23_P104387",0,0
"A_23_P104413",0,0
"A_23_P10442",0,0
"A_23_P104438",0,0
"A_23_P104445",0,0
"A_23_P104451",0,0
"A_23_P104464",0,0
"A_23_P104471",0,1
"A_23_P104484",0,0
"A_23_P104493",0,0
"A_23_P104509",0,0
"A_23_P104522",0,0
"A_23_P104555",0,0
"A_23_P104563",0,0
"A_23_P104579",0,0
"A_23_P10458",0,0
"A_23_P104583",0,0
"A_23_P104594",0,0
"A_23_P104607",0,0
"A_23_P104617",0,0
"A_23_P104624",0,0
"A_23_P10463",0,0
"A_23_P104641",0,0
"A_23_P104651",0,0
"A_23_P104676",0,0
"A_23_P104689",0,0
"A_23_P104692",0,0
"A_23_P104705",0,0
"A_23_P104734",0,0
"A_23_P104741",0,0
"A_23_P104762",0,0
"A_23_P104798",0,0
"A_23_P104804",0,0
"A_23_P104819",0,0
"A_23_P104845",0,0
"A_23_P104853",0,0
"A_23_P104865",0,0
"A_23_P104876",0,0
"A_23_P10488",0,0
"A_23_P104881",0,0
"A_23_P104892",0,0
"A_23_P104942",0,0
"A_23_P10497",0,0
"A_23_P104972",0,0
"A_23_P104996",0,0
"A_23_P10500",0,0
"A_23_P105002",0,0
"A_23_P105012",0,0
"A_23_P105028",0,0
"A_23_P105044",0,0
"A_23_P10506",0,0
"A_23_P105066",0,0
"A_23_P105088",0,0
"A_23_P105118",0,0
"A_23_P105138",0,0
"A_23_P105144",0,0
"A_23_P10518",0,0
"A_23_P105184",0,0
"A_23_P105197",0,0
"A_23_P105212",0,0
"A_23_P105227",0,0
"A_23_P10525",0,0
"A_23_P105251",0,0
"A_23_P105264",0,0
"A_23_P105276",1,0
"A_23_P105307",0,0
"A_23_P105313",0,0
"A_23_P105368",0,0
"A_23_P105382",0,0
"A_23_P105392",0,0
"A_23_P105409",0,0
"A_23_P10542",0,0
"A_23_P105423",0,0
"A_23_P105436",0,0
"A_23_P105442",0,0
"A_23_P105453",0,0
"A_23_P105461",0,0
"A_23_P105465",0,0
"A_23_P105475",0,0
"A_23_P105495",0,0
"A_23_P105519",0,0
"A_23_P105524",0,0
"A_23_P105535",0,0
"A_23_P105545",0,0
"A_23_P105562",0,0
"A_23_P105571",0,0
"A_23_P105583",0,0
"A_23_P10559",0,0
"A_23_P105592",0,0
"A_23_P1056",0,0
"A_23_P10561",0,0
"A_23_P105619",0,0
"A_23_P105625",0,0
"A_23_P10564",0,0
"A_23_P105646",0,0
"A_23_P105651",0,0
"A_23_P105664",0,0
"A_23_P105691",0,0
"A_23_P105705",0,0
"A_23_P105730",0,0
"A_23_P105732",0,0
"A_23_P105747",0,0
"A_23_P105753",0,0
"A_23_P105794",0,0
"A_23_P105803",0,0
"A_23_P105815",0,0
"A_23_P105833",0,0
"A_23_P105856",0,0
"A_23_P105862",0,0
"A_23_P105873",0,0
"A_23_P105886",0,0
"A_23_P105900",0,0
"A_23_P10591",0,0
"A_23_P105923",0,0
"A_23_P105939",0,0
"A_23_P105957",0,0
"A_23_P105963",0,0
"A_23_P105973",0,0
"A_23_P106",0,0
"A_23_P106002",0,0
"A_23_P106016",0,0
"A_23_P106024",0,0
"A_23_P106042",0,0
"A_23_P10605",0,0
"A_23_P106056",0,0
"A_23_P106069",0,0
"A_23_P106080",0,0
"A_23_P106103",0,0
"A_23_P106117",0,0
"A_23_P106127",0,0
"A_23_P106131",0,0
"A_23_P10614",0,0
"A_23_P106145",0,0
"A_23_P106158",0,0
"A_23_P106162",0,0
"A_23_P106174",0,0
"A_23_P106194",0,0
"A_23_P106204",0,0
"A_23_P106226",0,0
"A_23_P106236",0,0
"A_23_P106241",0,0
"A_23_P106258",0,0
"A_23_P106280",0,0
"A_23_P106299",0,0
"A_23_P106322",0,0
"A_23_P106362",0,0
"A_23_P106371",0,0
"A_23_P106389",0,0
"A_23_P106391",0,0
"A_23_P10640",0,0
"A_23_P106405",0,0
"A_23_P106412",0,0
"A_23_P106425",0,0
"A_23_P106433",0,0
"A_23_P106439",0,0
"A_23_P106463",0,0
"A_23_P10647",0,0
"A_23_P106472",0,0
"A_23_P106481",0,0
"A_23_P106497",0,0
"A_23_P106505",0,0
"A_23_P106522",0,0
"A_23_P106532",0,0
"A_23_P106544",0,0
"A_23_P106559",0,0
"A_23_P106562",0,0
"A_23_P106575",0,0
"A_23_P106602",0,0
"A_23_P106617",0,0
"A_23_P106629",0,0
"A_23_P106633",0,0
"A_23_P106656",0,0
"A_23_P106661",0,0
"A_23_P106663",0,0
"A_23_P106675",0,0
"A_23_P106682",0,0
"A_23_P106694",0,0
"A_23_P106708",0,0
"A_23_P106720",0,0
"A_23_P106727",0,0
"A_23_P106737",0,0
"A_23_P106741",0,0
"A_23_P106761",0,0
"A_23_P106773",0,0
"A_23_P106798",0,0
"A_23_P106806",0,0
"A_23_P106814",0,0
"A_23_P106822",0,0
"A_23_P106835",0,0
"A_23_P106844",0,0
"A_23_P10685",0,0
"A_23_P106859",0,0
"A_23_P106874",0,0
"A_23_P106887",0,0
"A_23_P106898",0,0
"A_23_P106906",0,0
"A_23_P106922",0,0
"A_23_P106933",0,0
"A_23_P106945",0,0
"A_23_P106973",0,-1
"A_23_P10699",0,0
"A_23_P106998",0,0
